"ID";"Bezeichner";"Gehäuse";"Stückzahl";"Bezeichnung";"Anbieter und Referenz";
1;"H1,H2";"MountingHole_2.5mm";2;"MountingHole";;;
2;"R7,R6,R2";"R_0805_2012Metric";3;"1k5";;;
3;"D8";"LED_D3.0mm_Clear";1;"LED_Dual_2pin";;;
4;"J1";"233-503";1;"233-503";;;
5;"J2";"Wago_734-162_1x02_P3.50mm_Horizontal";1;"Conn_01x02";;;
6;"U2,U3";"SO-4_4.4x3.6mm_P2.54mm";2;"LTV-356T";;;
7;"U1";"WEMOS_D1_mini_light";1;"WeMos_D1_mini";;;
8;"R5";"R_0805_2012Metric";1;"100";;;
9;"R4";"R_0805_2012Metric";1;"220";;;
10;"R3,R1";"R_0805_2012Metric";2;"330";;;
11;"Q1";"SOT-23";1;"BC858";;;
12;"D7,D6,D5,D4";"D_MiniMELF";4;"LL4148";;;
13;"D3";"D_MiniMELF";1;"ZMMxx";;;
14;"D2";"D_MiniMELF";1;"ZMM15";;;
15;"D1";"D_MiniMELF";1;"TZMC4V3";;;
